,name,company,year,Price,kms_driven,fuel_type,fuel_type_N,company_N,name_N
272,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol,2,14,163
273,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol,2,2,16
274,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,0,21,209
275,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol,2,9,91
276,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,0,9,84
277,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol,2,2,16
278,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,0,13,125
279,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,2,4,34
280,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol,2,2,16
281,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,0,20,193
282,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel,0,6,40
283,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol,2,9,73
284,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel,0,13,136
285,Mini Cooper S,Mini,2013,1891111,13000,Petrol,2,16,172
286,Mini Cooper S,Mini,2013,1891111,13000,Petrol,2,16,172
287,Tata Indica V2,Tata,2008,150000,11000,Petrol,2,21,203
288,Mini Cooper S,Mini,2013,1891111,13000,Petrol,2,16,172
289,Tata Indigo CS,Tata,2009,72500,46000,Diesel,0,21,205
290,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol,2,14,163
291,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel,0,13,133
292,Honda Accord,Honda,2009,175000,58559,Petrol,2,8,53
293,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,0,13,130
294,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,0,2,29
295,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel,0,6,40
296,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel,0,14,154
297,Honda Amaze,Honda,2014,299999,37000,Petrol,2,8,54
298,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol,2,14,152
299,Honda City,Honda,2011,284999,55000,Petrol,2,8,60
300,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel,0,13,127
301,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,0,14,152
302,Honda City,Honda,2015,644999,39000,Petrol,2,8,60
303,Honda Mobilio,Honda,2014,399999,44000,Petrol,2,8,67
304,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol,2,22,231
305,Honda City,Honda,2014,584999,39000,Petrol,2,8,60
306,Skoda Laura,Skoda,2012,349999,44000,Diesel,0,20,195
307,Renault Duster,Renault,2015,449999,49000,Diesel,0,19,181
308,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel,0,14,154
309,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,0,14,152
310,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel,0,13,139
311,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,0,9,96
312,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel,0,14,165
313,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol,2,14,166
314,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel,0,13,126
315,Honda Amaze,Honda,2014,274999,35000,Petrol,2,8,54
316,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel,0,13,139
317,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,0,13,126
318,Skoda Laura,Skoda,2013,374999,50000,Diesel,0,20,195
319,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,0,23,245
320,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol,2,9,78
321,Tata Manza Aura,Tata,2012,130000,72000,Diesel,0,21,212
322,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol,2,2,23
323,Renault Duster 110,Renault,2012,501000,38000,Diesel,0,19,182
324,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel,0,9,96
325,Audi A4 2.0,Audi,2012,1350000,40000,Diesel,0,0,2
326,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol,2,9,77
327,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel,0,13,133
328,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel,0,13,121
329,Renault Scala RxL,Renault,2015,375000,25000,Diesel,0,19,191
330,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,0,13,125
331,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,2,9,88
332,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,2,9,106
333,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,0,13,144
334,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol,2,9,88
335,Hyundai i20,Hyundai,2014,449999,23000,Petrol,2,9,105
336,Hyundai Eon,Hyundai,2014,174999,14000,Petrol,2,9,79
337,Hyundai i10,Hyundai,2012,244999,38000,Petrol,2,9,101
338,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel,0,9,106
339,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,2,3,32
340,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol,2,22,236
341,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,2,9,70
342,Hyundai Verna,Hyundai,2014,489999,44000,Diesel,0,9,93
343,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,0,14,163
344,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel,0,22,237
345,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,2,9,104
346,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel,0,13,116
347,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel,0,13,139
348,Honda City 1.5,Honda,2010,240000,400000,Petrol,2,8,61
349,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol,2,2,27
350,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,0,13,119
351,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,0,19,183
352,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel,0,13,139
353,Tata Indigo eCS,Tata,2014,250000,40000,Diesel,0,21,209
354,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,0,13,117
355,Force Motors Force,Force,2015,580000,3200,Diesel,0,5,36
356,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel,0,20,197
357,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel,0,21,226
358,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol,2,14,148
359,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,0,14,161
360,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol,2,14,167
361,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,0,13,118
362,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol,2,9,103
363,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,2,14,148
364,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel,0,14,163
365,Honda City ZX,Honda,2008,149000,42000,Petrol,2,8,64
366,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,0,13,118
367,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel,0,13,119
368,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel,0,2,15
369,Honda City 1.5,Honda,2010,225000,70000,Petrol,2,8,61
370,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol,2,9,94
371,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel,0,22,240
372,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol,2,14,157
373,Toyota Etios,Toyota,2011,275000,36000,Diesel,0,22,233
374,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,0,23,245
375,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel,0,14,163
376,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel,0,9,78
377,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol,2,14,163
378,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol,2,14,164
379,Tata Indigo LX,Tata,2016,130000,104000,Diesel,0,21,207
380,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,0,23,252
381,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol,2,15,170
382,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel,0,14,154
383,Honda City,Honda,2000,65000,80000,Petrol,2,8,60
384,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol,2,9,91
385,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol,2,14,158
386,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel,0,9,92
387,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol,2,9,78
388,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,0,23,252
389,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol,2,14,148
390,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol,2,14,148
391,Honda Jazz S,Honda,2009,169999,24695,Petrol,2,8,65
392,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol,2,9,88
393,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol,2,14,167
394,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel,0,13,135
395,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol,2,14,148
396,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel,0,9,88
397,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel,0,13,142
398,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol,2,9,75
399,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol,2,9,108
400,Renault Duster 85,Renault,2015,715000,65000,Diesel,0,19,184
401,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol,2,9,88
402,Honda Brio V,Honda,2012,235000,33000,Petrol,2,8,58
403,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel,0,13,136
404,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol,2,2,26
405,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel,0,13,137
406,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel,0,14,163
407,Nissan X Trail,Nissan,2019,1200000,300,Diesel,0,18,180
408,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol,2,14,148
409,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol,2,6,50
410,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel,0,22,238
411,Tata Manza ELAN,Tata,2010,155555,111111,Petrol,2,21,213
412,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol,2,15,168
413,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel,0,2,16
414,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel,0,6,41
415,Tata Indigo LS,Tata,2016,125000,70000,Diesel,0,21,206
416,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol,2,9,108
417,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel,0,23,251
418,Renault Kwid RXT,Renault,2015,270000,43000,Petrol,2,19,189
419,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel,0,6,40
420,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel,0,8,56
421,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol,2,9,95
422,BMW 5 Series,BMW,2011,1299000,49000,Diesel,0,1,9
423,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol,2,20,198
424,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel,0,0,5
425,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel,0,13,115
426,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,0,13,129
427,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel,0,6,47
428,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol,2,14,166
429,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol,2,13,123
430,Tata Nano GenX,Tata,2010,32000,44005,Petrol,2,21,216
431,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel,0,13,136
432,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel,0,13,136
433,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol,2,9,78
434,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol,2,9,78
435,Honda City SV,Honda,2017,760000,4000,Petrol,2,8,62
436,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol,2,14,149
437,Ford Figo Petrol,Ford,2011,175000,75000,Petrol,2,6,48
438,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,0,13,129
439,Honda City,Honda,2017,750000,3000,Petrol,2,8,60
440,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol,2,9,78
441,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol,2,14,164
442,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol,2,9,81
443,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol,2,17,174
444,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol,2,9,103
445,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol,2,22,232
446,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol,2,14,163
447,Tata Indigo CS,Tata,2015,123000,100000,Diesel,0,21,205
448,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,0,13,129
449,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,0,13,129
450,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel,0,9,99
451,Honda City,Honda,2015,499999,55000,Petrol,2,8,60
452,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol,2,9,71
453,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol,2,14,149
454,Tata Zest XE,Tata,2018,480000,103553,Diesel,0,21,228
455,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel,0,14,152
456,Tata Sumo Gold,Tata,2014,250000,99000,Diesel,0,21,219
457,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol,2,22,231
458,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG,1,14,153
459,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,0,22,238
460,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel,0,13,141
461,Tata Tigor Revotron,Tata,2019,650000,100,Diesel,0,21,224
462,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol,2,14,146
463,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol,2,14,154
464,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol,2,14,164
465,Honda Mobilio S,Honda,2014,399000,44000,Diesel,0,8,68
466,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel,0,14,154
467,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel,0,14,165
468,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel,0,9,95
469,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol,2,14,163
470,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,0,22,238
471,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol,2,14,158
472,Honda Amaze,Honda,2013,250000,55700,Diesel,0,8,54
473,Tata Indica,Tata,2005,80000,42000,Petrol,2,21,202
474,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol,2,9,91
475,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol,2,14,167
476,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol,2,14,166
477,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol,2,14,166
478,Honda Brio VX,Honda,2017,450000,11000,Petrol,2,8,59
479,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol,2,14,167
480,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol,2,14,167
481,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel,0,14,166
482,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol,2,14,148
483,Renault Kwid RXT,Renault,2019,370000,1000,Petrol,2,19,189
484,Tata Nano Lx,Tata,2010,52000,9000,Petrol,2,21,218
485,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol,2,10,111
486,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol,2,9,82
487,Honda City 1.5,Honda,2014,499000,22000,Petrol,2,8,61
488,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel,0,7,52
489,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol,2,14,159
490,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol,2,9,88
491,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol,2,9,80
492,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol,2,14,163
493,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol,2,14,166
494,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol,2,8,55
495,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol,2,14,156
496,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel,0,14,165
497,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol,2,14,153
498,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol,2,9,75
499,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel,0,13,134
500,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel,0,14,154
501,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol,2,17,173
502,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol,2,14,157
503,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol,2,14,148
504,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol,2,9,88
505,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol,2,9,80
506,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol,2,6,44
507,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel,0,14,159
508,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel,0,9,96
509,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol,2,14,166
510,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol,2,14,156
511,Audi A6 2.0,Audi,2012,1599000,11500,Diesel,0,0,3
512,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol,2,14,166
513,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol,2,14,166
514,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol,2,14,166
515,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol,2,14,148
516,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol,2,14,149
517,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol,2,9,95
518,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol,2,14,163
519,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol,2,9,87
520,Hyundai Santro,Hyundai,2000,51999,88000,Petrol,2,9,89
521,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol,2,9,87
522,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel,0,2,18
523,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol,2,6,41
524,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol,2,14,152
525,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel,0,9,84
526,Tata Indica V2,Tata,2005,35000,150000,Diesel,0,21,203
527,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel,0,1,13
528,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol,2,9,107
529,Honda City 1.5,Honda,2009,269000,55000,Petrol,2,8,61
530,Tata Nano,Tata,2013,60000,6800,Petrol,2,21,214
531,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel,0,2,19
532,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel,0,9,96
533,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel,0,14,163
534,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel,0,13,140
535,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol,2,14,148
536,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol,2,9,72
537,Force Motors One,Force,2013,550000,140000,Diesel,0,5,37
538,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol,2,14,148
539,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol,2,2,25
540,Hyundai i10,Hyundai,2009,215000,27000,Petrol,2,9,101
541,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel,0,22,236
542,Renault Duster 85PS,Renault,2013,401919,57923,Diesel,0,19,185
